"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_41264","nflId_42347","nflId_43380","nflId_44841","nflId_44870","nflId_44898","nflId_46104","nflId_46235","nflId_52418","nflId_52595","nflId_53539","nflId_54564","nflId_52523","nflId_53640","nflId_53520","nflId_45798","nflId_42503","nflId_43444","nflId_43297","nflId_53897","nflId_47901","nflId_45339","nflId_54667","nflId_47605","diferencia","yardlineSide_mod","isDropback"
"72",2022100902,2,2,3,3,107,"SHOTGUN","2x2",3.76666666666667,"9-12 min","local",1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-3,"rival",FALSE
"73",2022091801,2,2,6,43,53,"SHOTGUN","3x1",12.35,"0-3 min","local",1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"CLE",TRUE
"74",2022091101,2,3,13,37,47,"SHOTGUN","3x1",1.28333333333333,"12-15 min","visitante",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"CLE",TRUE
"75",2022091101,1,1,10,45,65,"SINGLEBACK","2x2",4.96666666666667,"9-12 min","visitante",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"CLE",TRUE
"76",2022092200,3,2,7,24,34,"EMPTY","3x2",3.8,"9-12 min","local",1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,"rival",TRUE
"77",2022101601,4,4,3,37,73,"SHOTGUN","2x2",1.88333333333333,"12-15 min","local",1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,-23,"rival",TRUE
"78",2022100902,4,1,10,23,87,"SHOTGUN","2x1",4.95,"9-12 min","local",1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,"rival",TRUE
"79",2022101601,4,1,20,25,35,"SHOTGUN","3x1",8.58333333333333,"6-9 min","local",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-15,"CLE",TRUE
"80",2022102300,2,2,15,7,103,"SHOTGUN","2x2",13.4,"0-3 min","visitante",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7,"CLE",FALSE
"81",2022102300,2,1,10,25,85,"SINGLEBACK","3x1",10.0833333333333,"3-6 min","visitante",1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,"CLE",FALSE
"82",2022103100,2,2,1,22,32,"SINGLEBACK","2x2",14.2333333333333,"0-3 min","local",1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,"CLE",FALSE
"83",2022091801,4,1,10,42,68,"SINGLEBACK","2x2",7.53333333333333,"6-9 min","local",1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,"CLE",FALSE
"84",2022091101,4,2,11,42,68,"SINGLEBACK","2x1",2.53333333333333,"12-15 min","visitante",1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,"CLE",TRUE
"85",2022091801,1,2,6,43,67,"SINGLEBACK","3x1",10.2166666666667,"3-6 min","local",1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"CLE",TRUE
"86",2022091101,4,3,4,31,79,"SHOTGUN","3x1",11.5166666666667,"3-6 min","visitante",1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,"CLE",TRUE
"87",2022101601,4,3,15,30,40,"SHOTGUN","2x2",7.75,"6-9 min","local",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-15,"CLE",TRUE
"88",2022091801,4,1,7,7,17,"SHOTGUN","2x2",9.48333333333333,"3-6 min","local",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",FALSE
"89",2022091101,1,3,3,47,57,"SHOTGUN","3x1",11.2833333333333,"3-6 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",FALSE
"90",2022101601,1,2,2,33,77,"SINGLEBACK","2x2",6.8,"6-9 min","local",1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-3,"CLE",FALSE
"91",2022092200,3,1,10,27,37,"SINGLEBACK","2x2",4.28333333333333,"9-12 min","local",1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,"rival",FALSE
"92",2022092200,1,2,9,41,69,"EMPTY","3x2",5.55,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"CLE",TRUE
"93",2022101601,4,2,5,15,95,"SHOTGUN","3x1",6.5,"6-9 min","local",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-15,"rival",TRUE
"94",2022091801,3,2,14,27,83,"EMPTY","3x2",11.15,"3-6 min","local",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"95",2022091101,3,1,10,15,95,"I_FORM","2x0",9.65,"3-6 min","visitante",1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,10,"rival",FALSE
"96",2022100902,4,1,10,45,55,"SHOTGUN","3x1",8.23333333333333,"6-9 min","local",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,"CLE",FALSE
"97",2022103100,3,1,10,34,76,"SINGLEBACK","3x1",5.23333333333333,"9-12 min","local",1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,18,"rival",FALSE
"98",2022100201,2,1,10,20,30,"SHOTGUN","3x1",6.51666666666667,"6-9 min","visitante",1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-3,"CLE",FALSE
"99",2022091101,1,1,20,25,85,"SHOTGUN","2x2",6.2,"6-9 min","visitante",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLE",FALSE
"100",2022102300,4,2,2,2,12,"SINGLEBACK","2x2",9.06666666666667,"3-6 min","visitante",1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,-10,"rival",FALSE
"101",2022103100,3,1,7,7,103,"SHOTGUN","2x1",3.93333333333333,"9-12 min","local",1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,18,"rival",FALSE
"102",2022100201,4,2,15,46,56,"SHOTGUN","3x1",1.4,"12-15 min","visitante",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-3,"rival",TRUE
"103",2022092200,3,2,10,16,26,"EMPTY","3x2",2.66666666666667,"12-15 min","local",1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,-1,"rival",TRUE
"104",2022091101,1,1,10,46,64,"SHOTGUN","2x2",12.7833333333333,"0-3 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLE",TRUE
"105",2022101601,4,3,3,37,73,"SHOTGUN","2x2",1.95,"12-15 min","local",1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,-23,"rival",TRUE
"106",2022091101,3,1,10,26,36,"SHOTGUN","3x1",14.9166666666667,"0-3 min","visitante",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,"CLE",TRUE
"107",2022091801,4,1,10,38,72,"SHOTGUN","3x1",12.3833333333333,"0-3 min","local",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"CLE",FALSE
"108",2022100902,4,1,10,18,28,"SHOTGUN","2x2",9.36666666666667,"3-6 min","local",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,"CLE",FALSE
"109",2022100201,2,3,6,24,34,"SHOTGUN","3x1",5.13333333333333,"9-12 min","visitante",1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-3,"CLE",TRUE
"110",2022101601,4,1,10,32,42,"SHOTGUN","3x1",3.25,"9-12 min","local",1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,-23,"CLE",TRUE
"111",2022103100,4,2,1,14,24,"SINGLEBACK","2x1",2,"12-15 min","local",1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,19,"rival",FALSE
"112",2022101601,1,1,10,38,48,"SINGLEBACK","3x1",0.783333333333333,"12-15 min","local",1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"rival",TRUE
"113",2022092200,4,3,10,49,59,"SHOTGUN","3x1",4.08333333333333,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,"CLE",TRUE
"114",2022102300,2,2,18,17,93,"EMPTY","3x2",9.01666666666667,"3-6 min","visitante",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,"CLE",TRUE
"115",2022100201,2,1,10,48,58,"SINGLEBACK","2x1",2.55,"12-15 min","visitante",1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-3,"CLE",FALSE
"116",2022091801,3,2,5,25,35,"SINGLEBACK","2x2",14.2666666666667,"0-3 min","local",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"CLE",TRUE
"117",2022092200,4,2,7,43,67,"SINGLEBACK","2x1",1.66666666666667,"12-15 min","local",1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,"rival",FALSE
"118",2022091101,1,3,8,41,51,"SHOTGUN","3x1",2.11666666666667,"12-15 min","visitante",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"119",2022100201,3,2,10,32,78,"SINGLEBACK","2x2",4.03333333333333,"9-12 min","visitante",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"rival",TRUE
"120",2022100902,2,1,3,3,107,"SINGLEBACK","3x1",3.86666666666667,"9-12 min","local",1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-3,"rival",TRUE
"121",2022100201,2,2,9,47,63,"I_FORM","2x1",13.3166666666667,"0-3 min","visitante",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-10,"rival",TRUE
"122",2022103100,1,3,19,44,54,"SHOTGUN","3x1",7.11666666666667,"6-9 min","local",1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,"rival",TRUE
"123",2022091801,1,3,2,4,14,"SINGLEBACK","2x2",5,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"rival",FALSE
"124",2022103100,2,2,8,24,34,"SINGLEBACK","2x2",10.1833333333333,"3-6 min","local",1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"CLE",FALSE
"125",2022100902,1,2,9,26,84,"EMPTY","3x2",14.35,"0-3 min","local",1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,"CLE",TRUE
"126",2022100201,2,1,1,1,109,"JUMBO","1x1",0.916666666666667,"12-15 min","visitante",1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,-3,"rival",FALSE
"127",2022100201,4,1,10,25,85,"SINGLEBACK","3x1",12.85,"0-3 min","visitante",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-4,"CLE",FALSE
"128",2022100902,1,1,10,28,82,"I_FORM","2x1",8.86666666666667,"6-9 min","local",1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,7,"CLE",TRUE
