"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_43290","nflId_43305","nflId_44930","nflId_46089","nflId_46130","nflId_47791","nflId_52443","nflId_52483","nflId_52529","nflId_53436","nflId_53541","nflId_44947","nflId_53959","nflId_48455","nflId_53739","nflId_43584","nflId_52574","nflId_45721","nflId_46679","nflId_48707","nflId_48680","nflId_46320","nflId_54642","nflId_54428","nflId_53941","nflId_55169","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100205,4,1,10,25,85,"SHOTGUN","3x1",2.23333333333333,"12-15 min","local",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,-10,"DET",1,1,0.742172309920678
2022091802,4,1,10,40,50,"SINGLEBACK","2x1",1.91666666666667,"12-15 min","local",1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,9,"rival",0,0,0.537766731947373
2022091802,3,3,15,22,88,"SHOTGUN","2x2",1.63333333333333,"12-15 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,"rival",1,1,0.792090374420616
2022092504,4,1,10,50,60,"SINGLEBACK","3x1",6.36666666666667,"6-9 min","visitante",1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,"centro",0,0,0.486598893601088
2022102303,1,1,10,48,62,"SHOTGUN","2x2",7.08333333333333,"6-9 min","visitante",1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,"rival",1,0,0.523786584977684
2022103003,4,1,10,41,69,"SINGLEBACK","2x2",5.9,"9-12 min","local",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-4,"DET",0,1,0.676711556950605
2022092504,4,3,10,50,60,"SHOTGUN","2x2",0.283333333333333,"12-15 min","visitante",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-4,"centro",1,1,0.690361011666675
2022100905,4,2,10,24,34,"SHOTGUN","2x2",3.63333333333333,"9-12 min","visitante",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-29,"rival",1,1,0.741597438438494
2022100905,4,2,10,40,50,"SHOTGUN","3x1",10.4,"3-6 min","visitante",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-26,"rival",1,1,0.672617768374151
2022103003,2,1,5,5,15,"SINGLEBACK","3x1",14.3166666666667,"0-3 min","local",1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,7,"rival",0,0,0.49098193435716
2022100205,2,3,14,31,79,"SHOTGUN","2x2",13.3,"0-3 min","local",1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,-8,"rival",1,1,0.651846248963088
2022103003,4,4,1,35,45,"SHOTGUN","2x2",2.98333333333333,"12-15 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-4,"rival",1,1,0.787861703729276
2022091802,1,3,12,23,33,"SHOTGUN","3x1",14.35,"0-3 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"DET",1,1,0.744520094651869
2022091104,4,3,5,48,58,"SHOTGUN","3x1",5.53333333333333,"9-12 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,"rival",1,1,0.780614808578106
2022103003,2,1,10,43,53,"SINGLEBACK","3x1",9.28333333333333,"3-6 min","local",1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,7,"rival",1,0,0.540687582285257
2022102303,2,1,10,16,94,"SINGLEBACK","3x1",1.2,"12-15 min","visitante",1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,"DET",0,0,0.50417192246314
2022102303,2,3,15,31,79,"EMPTY","3x2",5.26666666666667,"9-12 min","visitante",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,"DET",1,1,0.786540095758989
2022100905,1,1,10,36,74,"SINGLEBACK","3x1",13.2166666666667,"0-3 min","visitante",1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"DET",0,0,0.511225480844891
2022100905,3,2,7,39,71,"SINGLEBACK","2x2",7.33333333333333,"6-9 min","visitante",1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-19,"rival",0,1,0.586597104408418
2022102303,3,1,10,20,30,"SINGLEBACK","3x1",4.38333333333333,"9-12 min","visitante",1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,-4,"DET",0,1,0.65383691794087
2022100205,3,2,7,49,59,"SINGLEBACK","2x2",6.65,"6-9 min","local",1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,-16,"DET",0,1,0.58861184024685
2022100905,4,2,2,45,65,"SHOTGUN","3x1",4.55,"9-12 min","visitante",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-29,"DET",1,1,0.727216464473167
2022110603,1,1,10,47,57,"SHOTGUN","3x1",13.7166666666667,"0-3 min","local",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,"rival",0,0,0.47690501889571
2022091802,4,3,2,36,46,"EMPTY","3x2",7.81666666666667,"6-9 min","local",1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,8,"rival",1,0,0.37532631794248
2022100905,4,3,5,5,15,"SHOTGUN","3x1",13.3666666666667,"0-3 min","visitante",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-26,"rival",1,1,0.768238061826311
2022110603,4,1,10,50,60,"SINGLEBACK","2x2",4.25,"9-12 min","local",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,6,"centro",0,0,0.509384844108567
2022100905,4,4,4,18,28,"SHOTGUN","3x1",3.16666666666667,"9-12 min","visitante",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-29,"rival",1,1,0.798970475636085
2022100205,1,1,10,26,84,"SINGLEBACK","2x2",8.26666666666667,"6-9 min","local",1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,-7,"DET",0,1,0.599031663310698
2022091802,2,1,10,18,92,"EMPTY","3x2",4.2,"9-12 min","local",1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,22,"DET",1,0,0.389826305941979
2022091802,1,2,3,3,107,"SHOTGUN","2x2",4.83333333333333,"9-12 min","local",1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,"rival",0,0,0.371075813646265
2022091802,4,2,10,44,54,"EMPTY","3x2",8.58333333333333,"6-9 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,"rival",1,1,0.604040414104828
2022102303,1,1,10,24,86,"SINGLEBACK","2x2",5.35,"9-12 min","visitante",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"rival",0,1,0.698961317168628
2022091802,3,1,10,25,35,"SINGLEBACK","2x1",12.9666666666667,"0-3 min","local",1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,15,"DET",0,0,0.437146673782056
2022100205,2,2,23,12,22,"SHOTGUN","2x2",3.68333333333333,"9-12 min","local",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,-15,"DET",1,1,0.716851204599933
2022110603,4,3,1,41,51,"SINGLEBACK","2x2",2.78333333333333,"12-15 min","local",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,6,"rival",0,0,0.439678004722842
2022100905,2,3,7,31,79,"SHOTGUN","3x1",11.1166666666667,"3-6 min","visitante",1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-6,"rival",1,1,0.755293231775801
2022100205,3,1,10,25,35,"SINGLEBACK","2x1",15,"0-3 min","local",1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,-9,"DET",1,0,0.5607641030111
2022100205,2,2,5,35,75,"SHOTGUN","2x2",1.5,"12-15 min","local",1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,-15,"rival",1,1,0.607158639631344
2022100205,3,3,3,32,42,"SHOTGUN","2x2",13.7,"0-3 min","local",1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,-16,"DET",0,1,0.617165908493642
2022091104,3,1,10,25,35,"SINGLEBACK","2x2",10.35,"3-6 min","local",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,"DET",1,1,0.619106518015627
2022091104,2,2,9,26,36,"SHOTGUN","2x2",12.4,"0-3 min","local",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DET",0,0,0.4602816840154
2022091104,1,1,10,15,25,"SHOTGUN","3x1",12.3666666666667,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,0,0.554877763881538
2022091802,2,2,3,49,59,"SINGLEBACK","3x1",10.3833333333333,"3-6 min","local",1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,15,"rival",0,1,0.580699501550411
2022092504,1,1,10,37,73,"SINGLEBACK","2x1",8.7,"6-9 min","visitante",1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,"rival",0,0,0.475768433753958
2022091104,2,1,10,16,94,"SINGLEBACK","3x1",3.33333333333333,"9-12 min","local",1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,"rival",1,0,0.390721373990038
2022102303,4,1,10,21,89,"EMPTY","3x2",9.86666666666667,"3-6 min","visitante",1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,-4,"DET",1,0,0.545360638106536
2022110603,4,1,20,13,97,"SHOTGUN","2x2",6.1,"6-9 min","local",1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,6,"DET",1,1,0.601381256927222
2022103003,4,2,3,48,62,"SHOTGUN","3x1",4.86666666666667,"9-12 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-4,"DET",1,1,0.69635039521118
2022092504,4,2,14,46,56,"SINGLEBACK","2x2",2.33333333333333,"12-15 min","visitante",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,"rival",0,1,0.587285361604223
2022091802,1,3,3,27,37,"SHOTGUN","3x1",10.3,"3-6 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"DET",1,1,0.766589593134333
2022091802,1,1,10,42,52,"SINGLEBACK","2x2",0.0166666666666667,"12-15 min","local",1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,12,"DET",1,1,0.702052131390993
2022100905,4,3,3,33,43,"SHOTGUN","2x2",10.0833333333333,"3-6 min","visitante",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-26,"rival",1,1,0.780165586371501
2022100205,2,1,10,40,70,"SHOTGUN","2x2",2,"12-15 min","local",1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,-15,"rival",0,1,0.603098378761614
2022110603,2,3,8,47,57,"SHOTGUN","2x2",10.8833333333333,"3-6 min","local",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,"DET",0,0,0.480735221923799
2022092504,4,1,10,47,57,"SINGLEBACK","2x1",2.53333333333333,"12-15 min","visitante",1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3,"rival",0,0,0.435261531350996
2022103003,2,1,10,25,85,"SINGLEBACK","2x2",2.1,"12-15 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,"DET",0,1,0.719316767937323
2022092504,4,1,10,42,52,"I_FORM","2x0",2.4,"12-15 min","visitante",1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3,"rival",0,0,0.43532863726704
2022092504,3,1,10,13,97,"SINGLEBACK","2x1",2.23333333333333,"12-15 min","visitante",1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,"rival",0,1,0.613399720574105
2022102303,4,3,12,23,87,"SHOTGUN","2x2",1.35,"12-15 min","visitante",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-18,"DET",1,1,0.803909473488633
2022100205,1,2,7,44,66,"SHOTGUN","3x1",1.41666666666667,"12-15 min","local",1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-8,"DET",0,0,0.394263471637643
2022103003,2,1,10,35,75,"I_FORM","2x1",10.25,"3-6 min","local",1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,7,"DET",0,0,0.481100299903749
2022102303,3,1,5,30,40,"SHOTGUN","2x2",9.9,"3-6 min","visitante",1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-4,"DET",1,1,0.612889545841822
2022100905,4,1,20,23,33,"SHOTGUN","3x1",14.8666666666667,"0-3 min","visitante",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-26,"rival",1,1,0.658060229631692
2022110603,3,3,12,10,20,"EMPTY","3x2",8.46666666666667,"6-9 min","local",1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,8,"DET",1,1,0.772117129773402
2022100905,2,2,6,46,64,"SINGLEBACK","2x2",6.98333333333333,"6-9 min","visitante",1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-6,"rival",0,0,0.544748377234599
2022100205,4,2,2,2,12,"SHOTGUN","3x1",1.15,"12-15 min","local",1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,-10,"rival",1,0,0.553821408268011
2022102303,1,3,7,47,63,"SHOTGUN","2x2",11.4,"3-6 min","visitante",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"rival",0,1,0.757655710831662
2022100205,4,1,10,41,51,"SHOTGUN","2x2",1.9,"12-15 min","local",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,-10,"rival",1,1,0.744858333254213
2022110603,2,2,5,25,85,"SINGLEBACK","2x1",2,"12-15 min","local",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"rival",0,0,0.436196699767503
2022092504,1,2,10,46,56,"SHOTGUN","2x2",2.85,"12-15 min","visitante",1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,"DET",1,1,0.668626194379166
2022091104,4,1,10,26,36,"SINGLEBACK","2x2",15,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,"rival",1,1,0.597169060754865
2022102303,1,1,10,50,60,"SINGLEBACK","2x2",12.7833333333333,"0-3 min","visitante",1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"centro",0,0,0.422040558227131
2022091802,2,1,10,23,87,"SINGLEBACK","2x2",12.1666666666667,"0-3 min","local",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,15,"DET",1,0,0.456662725939202
2022100205,2,2,8,32,42,"SINGLEBACK","2x2",6.86666666666667,"6-9 min","local",1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,-8,"DET",1,0,0.507996129819918
2022092504,1,3,4,48,62,"SHOTGUN","2x2",2.16666666666667,"12-15 min","visitante",1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,"rival",0,1,0.781514162518757
2022091104,2,2,10,22,32,"SHOTGUN","3x1",10.0166666666667,"3-6 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DET",1,1,0.601508696907384
2022091802,3,3,6,29,39,"SHOTGUN","3x1",11.8833333333333,"3-6 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,"DET",1,1,0.749442184463618
2022103003,2,1,10,46,64,"SHOTGUN","3x1",1.1,"12-15 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,"DET",1,1,0.729678738817606
2022092504,1,1,10,49,59,"SINGLEBACK","3x1",13.6333333333333,"0-3 min","visitante",1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"DET",1,0,0.454194643009886
2022103003,2,3,10,43,53,"SHOTGUN","3x1",9.11666666666667,"3-6 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,"rival",1,1,0.765401387281088
2022103003,4,3,12,46,56,"SHOTGUN","3x1",3.71666666666667,"9-12 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-4,"rival",1,1,0.774075622959706
2022091802,1,1,10,31,79,"SINGLEBACK","3x1",3.11666666666667,"9-12 min","local",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5,"rival",1,0,0.519123756781799
2022092504,1,1,10,30,40,"SINGLEBACK","3x1",4.1,"9-12 min","visitante",1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,"DET",0,0,0.408884438100803
2022103003,2,2,10,43,53,"EMPTY","3x2",9.18333333333333,"3-6 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,"rival",1,1,0.630363804195274
